experiment_id,submitted_at_utc,model_summary,change_from_previous,validation_scheme,validation_score,kaggle_code_url,kaggle_code_version,submission_status,public_score,notes
c21,2026-08-06T17:48:37.437Z,C19 plus 1 percent fixed-schedule Lookup rank residual,Adds an independently trained fixed-epoch Lookup Transformer residual,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C20,0.969713851,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,2,COMPLETE,0.97085,Official submission 55304328; exact SHA-256 32d4b0b6d2b354db128441523bbc708392866cb44f21abe858d56ea71ddabc18; tied the project best
c22,2026-08-06T18:01:18.877Z,C19 plus total 2.5 percent fixed-schedule Lookup rank residual,Increases the total fixed-schedule Lookup allocation from 1 to 2.5 percent,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C21,0.969720033,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,3,COMPLETE,0.97086,Official submission 55304511; exact SHA-256 87902427f232c0adc50d0bf16dc0dc6ba21f7a4f673d297fb840bd68c3355f0e; new project best
c23,2026-08-06T18:09:09.343Z,C19 plus total 5 percent fixed-schedule Lookup rank residual,Increases the total fixed-schedule Lookup allocation from 2.5 to 5 percent,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C22,0.969725829,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,4,COMPLETE,0.97087,Official submission 55304632; exact SHA-256 8296ccb2735f22913e6355cd0b67bf6acd9398a7c38c46b62de40050aba9db27; new project best
c24,2026-08-07T12:26:04.797Z,C23 plus 1 percent fixed-schedule exact-value CatBoost rank residual,Adds an independently trained CatBoost member with round-trip float64 keys,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C23,0.969729536,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,6,COMPLETE,0.97087,Official submission 55324592; exact SHA-256 3b300ac3782eee67437be7f3dca7486bad50792ef3e4eb7146364f3b1f00a775; tied the project best at displayed precision
c25,2026-08-07T12:42:01.503Z,C24 plus 1 percent two-seed fixed-schedule Lookup average rank residual,Adds the equal-rank average of a second fixed-schedule Lookup initialization,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C24,0.969732452,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,7,COMPLETE,0.97087,Official submission 55324880; exact SHA-256 cfb6110e6bd44f8e910e69a2efb8bb94d8e140d0e9f091b43f2ddbb470eb426f; tied the project best at displayed precision
c26,2026-08-07T12:52:04.873Z,C25 plus fixed-900 identity and digit feature contrast,Adds the normalized-rank difference between matched enhanced-103 and raw-12 LightGBM models,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C25,0.969734839,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,8,COMPLETE,0.97088,Official submission 55325064; exact SHA-256 d4ab98a05ec02cca7d7c9167f3ea1fc1d1ea84ff3a147c86f6f8527425b471f3; new project best
c27,2026-08-07T13:07:04.210Z,C26 plus 0.75 percent fixed-schedule exact-value CatBoost rank residual,Adds the first passing point in a new locked exact-value residual sequence,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C26,0.969737414,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,9,COMPLETE,0.97088,Official submission 55325352; exact SHA-256 caa56f36b94d8768f9b171ca8680910cb072adb123a61631d4cca4f34c240d5a; tied the project best at displayed precision
c28,2026-08-07T13:17:32.130Z,C27 plus 3.2 percent strict fixed-4 RealMLP two-seed-average rank residual,Adds the last and first-passing point in a locked strict RealMLP residual sequence,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C27,0.969741014,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,10,COMPLETE,0.97087,Official submission 55325553; exact SHA-256 e89963dd570d39bfe82b84b0c7d21546de3d86663608bccbaeb1faf8bc509c2c; one displayed step below the project best
c29,2026-08-07T13:29:39.910Z,C28 plus 1.5 percent fixed-schedule exact-value CatBoost rank residual,Adds the first passing point in a new C28-anchored exact-value residual sequence,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C28,0.969744353,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,11,COMPLETE,0.97087,Official submission 55325823; exact SHA-256 28464a844198df8ca1a77830e128e4d82d8e298e4178bf2961ea1a6e57bba9b3; one displayed step below the project best
c30,2026-08-07T13:41:32.100Z,C29 plus 1 percent second-seed-minus-first-seed Lookup rank reallocation,Adds the first passing point on a zero-sum Lookup seed-reallocation axis,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C29 plus both ID slices,0.969747794,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,12,COMPLETE,0.97088,Official submission 55326042; exact SHA-256 52dae5c1b2180a137c829d8e064e9882b5c2720c4d3f94babdd7ec33ce25bb80; tied the project best at displayed precision
c31,2026-08-08T01:21:59.890Z,C29 plus total 2 percent second-seed-minus-first-seed Lookup rank reallocation,Increases the total zero-sum Lookup seed-reallocation coefficient from 1 to 2 percent,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C30 plus both ID slices,0.969750445,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,13,COMPLETE,0.97088,Official submission 55337746; exact SHA-256 0510658eb3cac0bbc24e8f4e96e97c9363fe861c4f216a8eea90581f11eaa345; tied the project best at displayed precision
c32,2026-08-08T01:33:48.197Z,C31 plus fixed-900 identity and digit feature contrast increment,Adds the first passing point on a fresh enhanced-103-minus-raw-12 LightGBM rank-contrast axis,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C31 plus both ID slices,0.969753407,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,14,COMPLETE,0.97088,Official submission 55337972; exact SHA-256 f95c8f2c4848c542d938ac8f6721414b6cbb9b4e6420817bd237b4925b50d04b; tied the project best at displayed precision
c33,2026-08-08T01:43:38.127Z,C32 plus fixed-1500 XGBoost identity and digit feature contrast,Adds the first passing point on a matched enhanced-103-minus-raw-12 XGBoost rank-contrast axis,Five-fold seed-42 aligned OOF with 4 of 5 fold gains versus C32 within tolerance plus both ID slices,0.969756036,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,15,COMPLETE,0.97088,Official submission 55338109; exact SHA-256 feb5a93e1f5c61908cc294cf94aed1dab432dfb0b80fc2d084e8e2deff6797e8; tied the project best at displayed precision
c34,2026-08-08T01:56:57.830Z,C33 plus 1.9 percent fixed-schedule exact-value CatBoost rank residual,Adds the first passing point in a fresh C33-anchored exact-value residual sequence,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C33 plus both ID slices,0.969759491,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,16,COMPLETE,0.97088,Official submission 55338301; exact SHA-256 5c8c2c755e328aace3f75a3938274921e03c52a2994eef55a072bfdd62e30ed1; tied the project best at displayed precision
c35,2026-08-08T02:22:19.193Z,C34 plus 0.75 percent second-seed-minus-first-seed Lookup rank reallocation,Adds the first passing fresh point under a prospective micro-gain gate,Five-fold seed-42 aligned OOF with strict gains in 5 of 5 folds and both ID slices,0.969760863,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,17,COMPLETE,0.97088,Official submission 55338669; exact SHA-256 440eeaca9304373ec522b051f912ca8607692b7d50a2dc848365039f02fcd703; tied the project best at displayed precision
c36,2026-08-08T02:36:04.007Z,C35 plus enhanced-103 XGBoost-minus-LightGBM model-family rank contrast,Adds the first passing point on a matched enhanced-feature model-family contrast,Five-fold seed-42 aligned OOF with 4 of 5 fold gains versus C35 within tolerance plus both ID slices,0.969762968,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,18,COMPLETE,0.97089,Official submission 55338876; exact SHA-256 d8fa025698b4d3d6862d43abf1cbbbd744bf82dc30eb162a6267394c1097377d; new project best
c37,2026-08-08T03:19:36.610Z,C36 plus equal standardized screen-relation and exact-value CatBoost directions,Combines two weakly anticorrelated model-family directions after unlabeled OOF standardization,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C36 plus both ID slices,0.969765452,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,19,COMPLETE,0.97089,Official submission 55339592; exact SHA-256 5677807c25daa135b47b3150b90c38a413540b5e0b8d40339db2528b20b7920a; tied the project best at displayed precision
c38,2026-08-08T03:55:51.447Z,C37 plus equal standardized CatBoost screen-relation and previous composite directions,Adds a matched CatBoost screen-relation contrast to the previous standardized composite,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C37 plus both ID slices,0.969767581,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,20,COMPLETE,0.97090,Official submission 55340194; exact SHA-256 fc7bd70951cb92baa26919b94379f930bc99a818d90baeb597040ec9a30ed90c; new project best
c39,2026-08-08T04:31:06.923Z,C38 plus equal standardized structural-perpendicular and accepted C38 directions,Adds an unlabeled-orthogonalized fixed900 structural LightGBM contrast to the accepted C38 direction,Five-fold seed-42 aligned OOF with 4 of 5 fold gains versus C38 within tolerance plus both ID slices,0.969770304,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,21,COMPLETE,0.97090,Official submission 55340851; exact SHA-256 9c0e9268d1a665dc3c97ae5b4d49a5ca63a8396b98ff56047423e4acac1a2002; tied the project best at displayed precision
c40,2026-08-08T04:57:42.163Z,C39 plus orthogonal Golem E-minus-D model-family rank contrast,Adds an unlabeled-orthogonalized XGBoost-E-minus-CatBoost-D contrast to C39,Five-fold seed-42 aligned OOF with 5 of 5 fold gains versus C39 plus both ID slices,0.969773058,https://www.kaggle.com/code/beicicc/s6e8-aug-6-fixed-schedule-lookup-audit,22,COMPLETE,0.97090,Official submission 55341398; exact SHA-256 2c5bbb6f83d2217881d5069025f1936ff1f703db1fefc819ac197d8597ca74a9; tied the project best at displayed precision; source is array-level reproducible without published training code or fold IDs
